iter	MultiClass
0	1.903552829
1	1.697556874
2	1.532980355
3	1.398474406
4	1.288264492
5	1.19418341
6	1.108652008
7	1.035816757
8	0.971244552
9	0.9125876481
10	0.8580452783
11	0.8101463226
12	0.7664106001
13	0.7258440262
14	0.6888708546
15	0.655316076
16	0.6241985312
17	0.5943622543
18	0.5670376525
19	0.5426283247
20	0.5199566
21	0.4980124162
22	0.4777481301
23	0.4592632464
24	0.4413300932
25	0.4242073888
26	0.4091246544
27	0.3945072044
28	0.380540735
29	0.367199492
30	0.3551156103
31	0.3433265349
32	0.3325928641
33	0.3226271261
34	0.3129058377
35	0.3038200621
36	0.2947911588
37	0.286407205
38	0.278539426
39	0.2712943514
40	0.2641420245
41	0.2574802864
42	0.2510251035
43	0.2449385837
44	0.2392398898
45	0.2339650347
46	0.2288153801
47	0.2240652272
48	0.2193431719
49	0.2145842595
50	0.2103332643
51	0.2061593469
52	0.2024580688
53	0.1987571211
54	0.1953619656
55	0.1921385915
56	0.1891286793
57	0.1862806533
58	0.1833683216
59	0.1805724424
60	0.17810258
61	0.1755153178
62	0.1730051473
63	0.1707142839
64	0.168630522
65	0.1666202976
66	0.1643437407
67	0.162288748
68	0.1603766277
69	0.1584130146
70	0.1567487544
71	0.1551257213
72	0.1536930484
73	0.1521255933
74	0.1505186209
75	0.1490933652
76	0.1477333032
77	0.1464547515
78	0.1451939086
79	0.1438917714
80	0.1428114147
81	0.1417624964
82	0.1407971824
83	0.1397012633
84	0.1386387962
85	0.1376777782
86	0.1365896913
87	0.1356164316
88	0.1347526443
89	0.1339206896
90	0.1330330002
91	0.1320918373
92	0.131441146
93	0.1307276452
94	0.1300356598
95	0.1293516296
96	0.1286762441
97	0.1280442974
98	0.1273704894
99	0.1266897073
100	0.1261456419
101	0.1256191395
102	0.1251046212
103	0.1245786066
104	0.1240360157
105	0.1236033001
106	0.1231285794
107	0.1225327815
108	0.1218571711
109	0.1213618924
110	0.1208973108
111	0.1204055
112	0.1200264624
113	0.1196122006
114	0.1191954351
115	0.1188708446
116	0.1184575094
117	0.1181209982
118	0.117725816
119	0.1173236104
120	0.1168511498
121	0.1165054051
122	0.1161410688
123	0.1158107161
124	0.1155256382
125	0.1151620183
126	0.1148538617
127	0.1146017244
128	0.1142119078
129	0.1139870384
130	0.113678681
131	0.1134164375
132	0.1131737173
133	0.1128921093
134	0.1126434784
135	0.1123647034
136	0.1121421651
137	0.111868142
138	0.1115875581
139	0.1113240934
140	0.1110890671
141	0.1108051579
142	0.1106084077
143	0.1103353698
144	0.1100982269
145	0.1098756154
146	0.1097225215
147	0.1094929481
148	0.1092964575
149	0.1090159649
150	0.108785617
151	0.108493782
152	0.1082866291
153	0.1081003617
154	0.107828773
155	0.1076058714
156	0.1073507117
157	0.1071642007
158	0.1069353272
159	0.1066920606
160	0.1065058442
161	0.1063220519
162	0.1061506397
163	0.1059767719
164	0.1057672729
165	0.1056105003
166	0.1054404484
167	0.1052487688
168	0.1050321264
169	0.1047987327
170	0.1046503461
171	0.1044636895
172	0.1042303273
173	0.1040303153
174	0.1038223623
175	0.1036969358
176	0.1035265221
177	0.1033697399
178	0.1032055687
179	0.1030593599
180	0.1029030973
181	0.1027214356
182	0.1025663322
183	0.1024117017
184	0.1021756444
185	0.1020677524
186	0.1019059995
187	0.1016576344
188	0.1014899044
189	0.1012957128
190	0.1011622229
191	0.101031004
