iter	Passed	Remaining
0	111	22209
1	125	12452
2	168	11076
3	219	10777
4	268	10479
5	318	10308
6	365	10065
7	406	9747
8	458	9735
9	499	9489
10	542	9313
11	583	9144
12	629	9054
13	670	8912
14	711	8780
15	760	8747
16	807	8687
17	849	8584
18	870	8292
19	912	8212
20	952	8121
21	992	8027
22	1040	8005
23	1087	7971
24	1131	7918
25	1177	7882
26	1247	7990
27	1308	8035
28	1347	7945
29	1390	7877
30	1434	7817
31	1475	7748
32	1518	7682
33	1557	7602
34	1599	7542
35	1646	7498
36	1690	7447
37	1737	7405
38	1779	7347
39	1825	7302
40	1872	7259
41	1913	7199
42	1955	7138
43	1995	7074
44	2041	7032
45	2093	7009
46	2137	6957
47	2183	6914
48	2228	6867
49	2271	6814
50	2315	6764
51	2360	6719
52	2405	6673
53	2449	6624
54	2495	6580
55	2538	6526
56	2592	6503
57	2641	6467
58	2691	6433
59	2741	6396
60	2787	6351
61	2836	6313
62	2878	6258
63	2921	6208
64	2965	6158
65	3006	6105
66	3050	6054
67	3093	6005
68	3134	5951
69	3182	5910
70	3233	5875
71	3277	5825
72	3326	5787
73	3368	5734
74	3410	5684
75	3457	5641
76	3502	5594
77	3542	5540
78	3584	5489
79	3633	5450
80	3677	5403
81	3727	5364
82	3779	5327
83	3822	5279
84	3868	5234
85	3914	5188
86	3958	5141
87	4006	5099
88	4050	5051
89	4093	5003
90	4140	4959
91	4186	4914
92	4230	4867
93	4280	4826
94	4321	4776
95	4367	4731
96	4411	4683
97	4459	4641
98	4505	4596
99	4546	4546
100	4602	4511
101	4646	4463
102	4691	4418
103	4735	4370
104	4776	4321
105	4818	4272
106	4870	4233
107	4914	4186
108	4953	4135
109	4996	4087
110	5036	4038
111	5079	3990
112	5100	3927
113	5141	3878
114	5181	3829
115	5224	3783
116	5265	3735
117	5309	3689
118	5357	3647
119	5401	3600
120	5451	3559
121	5504	3519
122	5553	3476
123	5603	3434
124	5653	3392
125	5695	3344
126	5738	3298
127	5790	3257
128	5833	3210
129	5836	3142
130	5881	3097
131	5928	3054
132	5974	3009
133	6022	2966
134	6064	2919
135	6107	2874
136	6159	2832
137	6205	2788
138	6254	2744
139	6298	2699
140	6340	2653
141	6383	2607
142	6431	2563
143	6480	2520
144	6525	2475
145	6565	2428
146	6610	2383
147	6655	2338
148	6697	2292
149	6742	2247
150	6796	2205
151	6842	2160
152	6881	2113
153	6928	2069
154	6975	2025
155	7019	1979
156	7060	1933
157	7103	1888
158	7148	1843
159	7192	1798
160	7235	1752
161	7287	1709
162	7335	1665
163	7376	1619
164	7422	1574
165	7479	1531
166	7521	1486
167	7582	1444
168	7626	1398
169	7673	1354
170	7723	1309
171	7766	1264
172	7811	1219
173	7858	1174
174	7902	1128
175	7942	1083
176	7989	1038
177	8036	993
178	8081	948
179	8124	902
180	8168	857
181	8214	812
182	8256	766
183	8298	721
184	8339	676
185	8386	631
186	8432	586
187	8483	541
188	8529	496
189	8578	451
190	8622	406
191	8663	360
